address,city,created_at,description,description_en,description_fr,display_description,display_specialties,email,featured,id,latitude,logo_url,longitude,name,opening_hours,phone,postal_code,province,specialties,specialties_en,specialties_fr,type,updated_at,website
Zuidgoordijkstraat 1,Hulshout,2025-12-27 18:50:15,Belgische chocolatier - 't Pranilleke,Belgian chocolatier - 't Pranilleke,Chocolaterie belge - 't Pranilleke,Belgische chocolatier - 't Pranilleke,,,0,2428,51.07911,,4.8081851,'t Pranilleke,,,2235.0,Antwerpen,,,,winkel,2025-12-27 18:50:15,https://www.pranilleke.be
Rubensstraat 11,Kontich,2025-12-27 18:50:15,Belgische chocolatier - 't Smikkelboetiekske,Belgian chocolatier - 't Smikkelboetiekske,Chocolaterie belge - 't Smikkelboetiekske,Belgische chocolatier - 't Smikkelboetiekske,,,0,2429,51.1340737,,4.4435948,'t Smikkelboetiekske,,,2550.0,Antwerpen,,,,winkel,2025-12-27 18:50:15,http://www.smikkelboetiekske.be
Rucaplein 54,Wilrijk,2025-12-27 18:50:15,Belgische chocolatier,Artisan chocolate shop offering quality Belgian chocolates.,Chocolaterie artisanale offrant des chocolats belges de qualité.,Belgische chocolatier,Ambachtelijke chocolade,,0,2430,51.1781102,,4.42196,'t Snoephuis,,,2610.0,Antwerpen,Ambachtelijke chocolade,Artisan chocolate,Chocolat artisanal,winkel,2025-12-27 18:50:15,https://www.tsnoephuis.be
Pauwengraaf 47,Eisden,2025-12-27 18:50:16,Belgische chocolatier - @Nano's,Belgian chocolatier - @Nano's,Chocolaterie belge - @Nano's,Belgische chocolatier - @Nano's,,,0,2431,50.9882835,,5.69607,@Nano's,,,3630.0,Limburg,,,,winkel,2025-12-27 18:50:16,
Rue de Scrawelle 61,Seneffe,2025-12-27 18:50:16,Belgische chocolatier - ADK IMPERIUM,Belgian chocolatier - ADK IMPERIUM,Chocolaterie belge - ADK IMPERIUM,Belgische chocolatier - ADK IMPERIUM,,,0,2432,50.5359399,,4.2444263,ADK IMPERIUM,,,7180.0,Henegouwen,,,,winkel,2025-12-27 18:50:16,
Avenue Léopold III 344,Péronnes-lez-Binche,2025-12-27 18:50:16,Belgische chocolatier - ANOBLA BUSINESS CORPORATE,Belgian chocolatier - ANOBLA BUSINESS CORPORATE,Chocolaterie belge - ANOBLA BUSINESS CORPORATE,Belgische chocolatier - ANOBLA BUSINESS CORPORATE,,,0,2436,50.4397726,,4.1592828,ANOBLA BUSINESS CORPORATE,,,7134.0,Henegouwen,,,,winkel,2025-12-27 18:50:16,
Gentstraat 236/B,Ingelmunster,2025-12-27 18:50:16,Belgische chocolatier - ARCUS,Belgian chocolatier - ARCUS,Chocolaterie belge - ARCUS,Belgische chocolatier - ARCUS,,,0,2437,50.9113618,,3.283353,ARCUS,,,8770.0,West-Vlaanderen,,,,winkel,2025-12-27 18:50:16,
Reebokstraat 2/1,Brussel,2025-12-27 18:50:16,Belgische chocolatier - ASSOCIATION BELGE DES PRODUITS DU TERROIR,Belgian chocolatier - ASSOCIATION BELGE DES PRODUITS DU TERROIR,Chocolaterie belge - ASSOCIATION BELGE DES PRODUITS DU TERROIR,Belgische chocolatier - ASSOCIATION BELGE DES PRODUITS DU TERROIR,,,0,2439,50.8378476,,4.3455651,ASSOCIATION BELGE DES PRODUITS DU TERROIR,,,1000.0,Brussels Hoofdstedelijk Gewest,,,,winkel,2025-12-27 18:50:16,
Rue des Ateliers 1,Genval,2025-12-27 18:50:16,Belgische chocolatier - ATELIERS BONBONS & BALLONS,Belgian chocolatier - ATELIERS BONBONS & BALLONS,Chocolaterie belge - ATELIERS BONBONS & BALLONS,Belgische chocolatier - ATELIERS BONBONS & BALLONS,,,0,2440,50.722244,,4.5145697,ATELIERS BONBONS & BALLONS,,,1332.0,Waals-Brabant,,,,winkel,2025-12-27 18:50:16,https://www.atelierbonbonsballons.be
Rue du Lieutenant Jüngling 19,Barchon,2025-12-27 18:50:16,Belgische chocolatier - AU COIN FLEURI,Belgian chocolatier - AU COIN FLEURI,Chocolaterie belge - AU COIN FLEURI,Belgische chocolatier - AU COIN FLEURI,,,0,2442,50.6635695,,5.6892692,AU COIN FLEURI,,,4671.0,Luik,,,,winkel,2025-12-27 18:50:16,
